Mois,Total,Médiane,Moyenne,Ecart-type
1,213.50 MW,9.25 MW,10.68 MW,1.16 MW
2,210.85 MW,9.73 MW,10.54 MW,0.89 MW
3,215.80 MW,9.65 MW,10.79 MW,0.97 MW
4,219.60 MW,9.30 MW,10.98 MW,1.14 MW
5,230.45 MW,10.65 MW,11.52 MW,0.93 MW
6,215.35 MW,9.75 MW,10.77 MW,0.88 MW
7,222.20 MW,10.13 MW,11.11 MW,0.77 MW
8,226.85 MW,10.13 MW,11.34 MW,0.85 MW
9,235.30 MW,10.38 MW,11.77 MW,1.05 MW
10,216.35 MW,9.33 MW,10.82 MW,1.26 MW
11,222.60 MW,9.83 MW,11.13 MW,0.95 MW
12,223.95 MW,8.68 MW,11.20 MW,1.39 MW
Meilleurs mois,224 MW
Pire mois,211 MW
